,name,sex,year,times_compete
6,Li Fabin,M,2021,0
6,Li Fabin,M,2020,0
6,Li Fabin,M,2019,2
6,Li Fabin,M,2018,0
6,Li Fabin,M,2017,0
6,Li Fabin,M,2016,0
6,Li Fabin,M,2015,0
6,Li Fabin,M,2014,0
6,Li Fabin,M,2013,0
7,Liao Hui,M,2023,0
7,Liao Hui,M,2022,0
7,Liao Hui,M,2021,0
7,Liao Hui,M,2020,0
7,Liao Hui,M,2019,0
7,Liao Hui,M,2018,2
7,Liao Hui,M,2017,4
7,Liao Hui,M,2016,0
7,Liao Hui,M,2015,3
7,Liao Hui,M,2014,0
7,Liao Hui,M,2013,0
8,Shi Zhiyong,M,2023,0
8,Shi Zhiyong,M,2022,0
8,Shi Zhiyong,M,2021,6
8,Shi Zhiyong,M,2020,3
8,Shi Zhiyong,M,2019,2
8,Shi Zhiyong,M,2018,1
8,Shi Zhiyong,M,2017,2
8,Shi Zhiyong,M,2016,2
8,Shi Zhiyong,M,2015,0
8,Shi Zhiyong,M,2014,0
8,Shi Zhiyong,M,2013,0
9,Liu Huanhua,M,2023,2
9,Liu Huanhua,M,2022,0
9,Liu Huanhua,M,2021,0
9,Liu Huanhua,M,2020,0
9,Liu Huanhua,M,2019,0
9,Liu Huanhua,M,2018,0
9,Liu Huanhua,M,2017,0
9,Liu Huanhua,M,2016,0
9,Liu Huanhua,M,2015,0
9,Liu Huanhua,M,2014,0
9,Liu Huanhua,M,2013,0
10,Meso Hassona,M,2023,0
10,Meso Hassona,M,2022,1
10,Meso Hassona,M,2021,2
10,Meso Hassona,M,2020,2
10,Meso Hassona,M,2019,3
10,Meso Hassona,M,2018,8
10,Meso Hassona,M,2017,7
10,Meso Hassona,M,2016,3
10,Meso Hassona,M,2015,0
10,Meso Hassona,M,2014,0
10,Meso Hassona,M,2013,0
11,Keydomar Vallenilla,M,2023,1
11,Keydomar Vallenilla,M,2022,1
11,Keydomar Vallenilla,M,2021,2
11,Keydomar Vallenilla,M,2020,0
11,Keydomar Vallenilla,M,2019,0
11,Keydomar Vallenilla,M,2018,2
11,Keydomar Vallenilla,M,2017,1
11,Keydomar Vallenilla,M,2016,0
11,Keydomar Vallenilla,M,2015,0
11,Keydomar Vallenilla,M,2014,0
11,Keydomar Vallenilla,M,2013,0
12,Antonio Pizzolato,M,2023,1
12,Antonio Pizzolato,M,2022,3
12,Antonio Pizzolato,M,2021,2
12,Antonio Pizzolato,M,2020,1
12,Antonio Pizzolato,M,2019,1
12,Antonio Pizzolato,M,2018,0
12,Antonio Pizzolato,M,2017,1
12,Antonio Pizzolato,M,2016,0
12,Antonio Pizzolato,M,2015,0
12,Antonio Pizzolato,M,2014,0
12,Antonio Pizzolato,M,2013,0
13,Karlos Nasar,M,2023,6
13,Karlos Nasar,M,2022,4
13,Karlos Nasar,M,2021,4
13,Karlos Nasar,M,2020,0
13,Karlos Nasar,M,2019,0
13,Karlos Nasar,M,2018,0
13,Karlos Nasar,M,2017,0
13,Karlos Nasar,M,2016,0
13,Karlos Nasar,M,2015,0
13,Karlos Nasar,M,2014,0
13,Karlos Nasar,M,2013,0
14,Mirko Zanni,M,2023,1
14,Mirko Zanni,M,2022,0
14,Mirko Zanni,M,2021,1
14,Mirko Zanni,M,2020,0
14,Mirko Zanni,M,2019,1
14,Mirko Zanni,M,2018,0
14,Mirko Zanni,M,2017,0
14,Mirko Zanni,M,2016,0
14,Mirko Zanni,M,2015,0
14,Mirko Zanni,M,2014,0
14,Mirko Zanni,M,2013,0
15,Lesman Paredes,M,2023,0
15,Lesman Paredes,M,2022,1
15,Lesman Paredes,M,2021,3
15,Lesman Paredes,M,2020,0
15,Lesman Paredes,M,2019,0
15,Lesman Paredes,M,2018,0
15,Lesman Paredes,M,2017,0
15,Lesman Paredes,M,2016,1
15,Lesman Paredes,M,2015,1
15,Lesman Paredes,M,2014,0
15,Lesman Paredes,M,2013,0
16,Akbar Djuraev,M,2023,1
16,Akbar Djuraev,M,2022,2
16,Akbar Djuraev,M,2021,4
16,Akbar Djuraev,M,2020,0
16,Akbar Djuraev,M,2019,2
16,Akbar Djuraev,M,2018,0
16,Akbar Djuraev,M,2017,0
16,Akbar Djuraev,M,2016,0
16,Akbar Djuraev,M,2015,0
16,Akbar Djuraev,M,2014,0
16,Akbar Djuraev,M,2013,0
17,Rustam Djangabaev,M,2023,1
17,Rustam Djangabaev,M,2022,0
17,Rustam Djangabaev,M,2021,0
17,Rustam Djangabaev,M,2020,0
17,Rustam Djangabaev,M,2019,0
17,Rustam Djangabaev,M,2018,3
17,Rustam Djangabaev,M,2017,1
17,Rustam Djangabaev,M,2016,0
17,Rustam Djangabaev,M,2015,0
17,Rustam Djangabaev,M,2014,0
17,Rustam Djangabaev,M,2013,0
18,Ruslan Nurudinov,M,2023,1
18,Ruslan Nurudinov,M,2022,0
18,Ruslan Nurudinov,M,2021,2
18,Ruslan Nurudinov,M,2020,0
18,Ruslan Nurudinov,M,2019,0
18,Ruslan Nurudinov,M,2018,2
18,Ruslan Nurudinov,M,2017,1
18,Ruslan Nurudinov,M,2016,4
18,Ruslan Nurudinov,M,2015,0
18,Ruslan Nurudinov,M,2014,1
18,Ruslan Nurudinov,M,2013,2
19,Luis Mosquera,M,2023,0
19,Luis Mosquera,M,2022,0
19,Luis Mosquera,M,2021,2
19,Luis Mosquera,M,2020,1
19,Luis Mosquera,M,2019,0
19,Luis Mosquera,M,2018,0
19,Luis Mosquera,M,2017,3
19,Luis Mosquera,M,2016,6
19,Luis Mosquera,M,2015,10
19,Luis Mosquera,M,2014,3
19,Luis Mosquera,M,2013,0
20,Brayan Rodallegas,M,2023,0
20,Brayan Rodallegas,M,2022,1
20,Brayan Rodallegas,M,2021,1
20,Brayan Rodallegas,M,2020,1
20,Brayan Rodallegas,M,2019,1
20,Brayan Rodallegas,M,2018,1
20,Brayan Rodallegas,M,2017,0
20,Brayan Rodallegas,M,2016,0
20,Brayan Rodallegas,M,2015,0
20,Brayan Rodallegas,M,2014,0
20,Brayan Rodallegas,M,2013,0
21,Rizki Juniansyah,M,2023,2
21,Rizki Juniansyah,M,2022,2
21,Rizki Juniansyah,M,2021,2
21,Rizki Juniansyah,M,2020,1
21,Rizki Juniansyah,M,2019,0
21,Rizki Juniansyah,M,2018,0
21,Rizki Juniansyah,M,2017,0
21,Rizki Juniansyah,M,2016,0
21,Rizki Juniansyah,M,2015,0
21,Rizki Juniansyah,M,2014,0
21,Rizki Juniansyah,M,2013,0
22,Rahmat Abdullah,M,2023,3
22,Rahmat Abdullah,M,2022,2
22,Rahmat Abdullah,M,2021,1
22,Rahmat Abdullah,M,2020,0
22,Rahmat Abdullah,M,2019,0
22,Rahmat Abdullah,M,2018,0
22,Rahmat Abdullah,M,2017,0
22,Rahmat Abdullah,M,2016,0
22,Rahmat Abdullah,M,2015,0
22,Rahmat Abdullah,M,2014,0
22,Rahmat Abdullah,M,2013,0
23,Marin Robu,M,2023,0
23,Marin Robu,M,2022,1
23,Marin Robu,M,2021,1
23,Marin Robu,M,2020,0
23,Marin Robu,M,2019,0
23,Marin Robu,M,2018,0
23,Marin Robu,M,2017,0
23,Marin Robu,M,2016,0
23,Marin Robu,M,2015,0
23,Marin Robu,M,2014,0
23,Marin Robu,M,2013,0
24,Artyom Antropov,M,2023,2
24,Artyom Antropov,M,2022,2
24,Artyom Antropov,M,2021,1
24,Artyom Antropov,M,2020,1
24,Artyom Antropov,M,2019,1
24,Artyom Antropov,M,2018,0
24,Artyom Antropov,M,2017,0
24,Artyom Antropov,M,2016,0
24,Artyom Antropov,M,2015,0
24,Artyom Antropov,M,2014,0
24,Artyom Antropov,M,2013,0
25,Varazdat Lalayan,M,2023,2
25,Varazdat Lalayan,M,2022,1
25,Varazdat Lalayan,M,2021,2
25,Varazdat Lalayan,M,2020,0
25,Varazdat Lalayan,M,2019,1
25,Varazdat Lalayan,M,2018,0
25,Varazdat Lalayan,M,2017,0
25,Varazdat Lalayan,M,2016,0
25,Varazdat Lalayan,M,2015,0
25,Varazdat Lalayan,M,2014,0
25,Varazdat Lalayan,M,2013,0
26,Gor Minasyan,M,2023,2
26,Gor Minasyan,M,2022,2
26,Gor Minasyan,M,2021,1
26,Gor Minasyan,M,2020,1
26,Gor Minasyan,M,2019,2
26,Gor Minasyan,M,2018,0
26,Gor Minasyan,M,2017,1
26,Gor Minasyan,M,2016,1
26,Gor Minasyan,M,2015,0
26,Gor Minasyan,M,2014,0
26,Gor Minasyan,M,2013,0
27,Simon Martirosyan,M,2023,1
27,Simon Martirosyan,M,2022,0
27,Simon Martirosyan,M,2021,2
27,Simon Martirosyan,M,2020,2
27,Simon Martirosyan,M,2019,2
27,Simon Martirosyan,M,2018,3
27,Simon Martirosyan,M,2017,8
27,Simon Martirosyan,M,2016,4
27,Simon Martirosyan,M,2015,0
27,Simon Martirosyan,M,2014,0
27,Simon Martirosyan,M,2013,0
28,Andranik Karapetyan,M,2023,2
28,Andranik Karapetyan,M,2022,0
28,Andranik Karapetyan,M,2021,0
28,Andranik Karapetyan,M,2020,0
28,Andranik Karapetyan,M,2019,0
28,Andranik Karapetyan,M,2018,0
28,Andranik Karapetyan,M,2017,0
28,Andranik Karapetyan,M,2016,1
28,Andranik Karapetyan,M,2015,0
28,Andranik Karapetyan,M,2014,0
28,Andranik Karapetyan,M,2013,0
29,Toshiki Yamamoto,M,2023,0
29,Toshiki Yamamoto,M,2022,0
29,Toshiki Yamamoto,M,2021,0
29,Toshiki Yamamoto,M,2020,4
29,Toshiki Yamamoto,M,2019,3
29,Toshiki Yamamoto,M,2018,1
29,Toshiki Yamamoto,M,2017,2
29,Toshiki Yamamoto,M,2016,0
29,Toshiki Yamamoto,M,2015,1
29,Toshiki Yamamoto,M,2014,0
29,Toshiki Yamamoto,M,2013,0
30,Bak Joo-Hyo,M,2023,1
30,Bak Joo-Hyo,M,2022,0
30,Bak Joo-Hyo,M,2021,0
30,Bak Joo-Hyo,M,2020,0
30,Bak Joo-Hyo,M,2019,0
30,Bak Joo-Hyo,M,2018,0
30,Bak Joo-Hyo,M,2017,0
30,Bak Joo-Hyo,M,2016,0
30,Bak Joo-Hyo,M,2015,0
30,Bak Joo-Hyo,M,2014,0
30,Bak Joo-Hyo,M,2013,0
31,Jang Yeonhak,M,2023,1
31,Jang Yeonhak,M,2022,0
31,Jang Yeonhak,M,2021,0
31,Jang Yeonhak,M,2020,0
31,Jang Yeonhak,M,2019,0
31,Jang Yeonhak,M,2018,0
31,Jang Yeonhak,M,2017,0
31,Jang Yeonhak,M,2016,0
31,Jang Yeonhak,M,2015,0
31,Jang Yeonhak,M,2014,0
31,Jang Yeonhak,M,2013,0
32,Lee Sang,M,2023,0
32,Lee Sang,M,2022,1
32,Lee Sang,M,2021,0
32,Lee Sang,M,2020,0
32,Lee Sang,M,2019,0
32,Lee Sang,M,2018,1
32,Lee Sang,M,2017,0
32,Lee Sang,M,2016,0
32,Lee Sang,M,2015,0
32,Lee Sang,M,2014,0
32,Lee Sang,M,2013,0
33,Adkhamjon Ergashev,M,2023,0
33,Adkhamjon Ergashev,M,2022,1
33,Adkhamjon Ergashev,M,2021,2
33,Adkhamjon Ergashev,M,2020,0
33,Adkhamjon Ergashev,M,2019,1
33,Adkhamjon Ergashev,M,2018,3
33,Adkhamjon Ergashev,M,2017,1
33,Adkhamjon Ergashev,M,2016,1
33,Adkhamjon Ergashev,M,2015,1
33,Adkhamjon Ergashev,M,2014,0
33,Adkhamjon Ergashev,M,2013,0
34,C.J. Cummings,M,2023,0
34,C.J. Cummings,M,2022,0
34,C.J. Cummings,M,2021,3
34,C.J. Cummings,M,2020,0
34,C.J. Cummings,M,2019,6
34,C.J. Cummings,M,2018,7
34,C.J. Cummings,M,2017,9
34,C.J. Cummings,M,2016,15
34,C.J. Cummings,M,2015,8
34,C.J. Cummings,M,2014,6
34,C.J. Cummings,M,2013,0
35,Behdad Salimi,M,2023,0
35,Behdad Salimi,M,2022,0
35,Behdad Salimi,M,2021,2
35,Behdad Salimi,M,2020,0
35,Behdad Salimi,M,2019,0
35,Behdad Salimi,M,2018,2
35,Behdad Salimi,M,2017,4
35,Behdad Salimi,M,2016,1
35,Behdad Salimi,M,2015,0
35,Behdad Salimi,M,2014,2
35,Behdad Salimi,M,2013,0
36,Ian Wilson,M,2023,0
36,Ian Wilson,M,2022,0
36,Ian Wilson,M,2021,1
36,Ian Wilson,M,2020,0
36,Ian Wilson,M,2019,0
36,Ian Wilson,M,2018,0
36,Ian Wilson,M,2017,3
36,Ian Wilson,M,2016,0
36,Ian Wilson,M,2015,2
36,Ian Wilson,M,2014,14
36,Ian Wilson,M,2013,0
37,Oleksiy Torokhtiy,M,2023,0
37,Oleksiy Torokhtiy,M,2022,0
37,Oleksiy Torokhtiy,M,2021,0
37,Oleksiy Torokhtiy,M,2020,0
37,Oleksiy Torokhtiy,M,2019,0
37,Oleksiy Torokhtiy,M,2018,0
37,Oleksiy Torokhtiy,M,2017,1
37,Oleksiy Torokhtiy,M,2016,12
37,Oleksiy Torokhtiy,M,2015,2
37,Oleksiy Torokhtiy,M,2014,0
37,Oleksiy Torokhtiy,M,2013,0
38,Dmitry Klokov,M,2023,0
38,Dmitry Klokov,M,2022,0
38,Dmitry Klokov,M,2021,0
38,Dmitry Klokov,M,2020,0
38,Dmitry Klokov,M,2019,0
38,Dmitry Klokov,M,2018,0
38,Dmitry Klokov,M,2017,0
38,Dmitry Klokov,M,2016,7
38,Dmitry Klokov,M,2015,5
38,Dmitry Klokov,M,2014,10
38,Dmitry Klokov,M,2013,38
39,Apti Aukhadov,M,2023,0
39,Apti Aukhadov,M,2022,0
39,Apti Aukhadov,M,2021,0
39,Apti Aukhadov,M,2020,0
39,Apti Aukhadov,M,2019,0
39,Apti Aukhadov,M,2018,0
39,Apti Aukhadov,M,2017,0
39,Apti Aukhadov,M,2016,1
39,Apti Aukhadov,M,2015,3
39,Apti Aukhadov,M,2014,3
39,Apti Aukhadov,M,2013,11
40,D'Angelo Osorio,M,2023,0
40,D'Angelo Osorio,M,2022,0
40,D'Angelo Osorio,M,2021,0
40,D'Angelo Osorio,M,2020,0
40,D'Angelo Osorio,M,2019,0
40,D'Angelo Osorio,M,2018,1
40,D'Angelo Osorio,M,2017,4
40,D'Angelo Osorio,M,2016,1
40,D'Angelo Osorio,M,2015,0
40,D'Angelo Osorio,M,2014,12
40,D'Angelo Osorio,M,2013,0
41,Caine Wilkes,M,2023,0
41,Caine Wilkes,M,2022,0
41,Caine Wilkes,M,2021,0
41,Caine Wilkes,M,2020,0
41,Caine Wilkes,M,2019,0
41,Caine Wilkes,M,2018,0
41,Caine Wilkes,M,2017,0
41,Caine Wilkes,M,2016,1
41,Caine Wilkes,M,2015,7
41,Caine Wilkes,M,2014,3
41,Caine Wilkes,M,2013,2
42,Fernando Reiss,M,2023,0
42,Fernando Reiss,M,2022,0
42,Fernando Reiss,M,2021,0
42,Fernando Reiss,M,2020,0
42,Fernando Reiss,M,2019,0
42,Fernando Reiss,M,2018,5
42,Fernando Reiss,M,2017,8
42,Fernando Reiss,M,2016,0
42,Fernando Reiss,M,2015,1
42,Fernando Reiss,M,2014,1
42,Fernando Reiss,M,2013,1
43,Harrison Maurus,M,2023,0
43,Harrison Maurus,M,2022,0
43,Harrison Maurus,M,2021,1
43,Harrison Maurus,M,2020,1
43,Harrison Maurus,M,2019,0
43,Harrison Maurus,M,2018,7
43,Harrison Maurus,M,2017,5
43,Harrison Maurus,M,2016,4
43,Harrison Maurus,M,2015,2
43,Harrison Maurus,M,2014,0
43,Harrison Maurus,M,2013,0
44,Hampton Morris,M,2023,2
44,Hampton Morris,M,2022,0
44,Hampton Morris,M,2021,1
44,Hampton Morris,M,2020,0
44,Hampton Morris,M,2019,0
44,Hampton Morris,M,2018,0
44,Hampton Morris,M,2017,0
44,Hampton Morris,M,2016,0
44,Hampton Morris,M,2015,0
44,Hampton Morris,M,2014,0
44,Hampton Morris,M,2013,0
45,Alireza Yousefi,M,2023,2
45,Alireza Yousefi,M,2022,3
45,Alireza Yousefi,M,2021,0
45,Alireza Yousefi,M,2020,0
45,Alireza Yousefi,M,2019,0
45,Alireza Yousefi,M,2018,0
45,Alireza Yousefi,M,2017,0
45,Alireza Yousefi,M,2016,0
45,Alireza Yousefi,M,2015,0
45,Alireza Yousefi,M,2014,0
45,Alireza Yousefi,M,2013,0
46,Boady Santavy,M,2023,0
46,Boady Santavy,M,2022,0
46,Boady Santavy,M,2021,2
46,Boady Santavy,M,2020,1
46,Boady Santavy,M,2019,0
46,Boady Santavy,M,2018,1
46,Boady Santavy,M,2017,0
46,Boady Santavy,M,2016,0
46,Boady Santavy,M,2015,5
46,Boady Santavy,M,2014,0
46,Boady Santavy,M,2013,0
47,Yusuf Genç,M,2023,1
47,Yusuf Genç,M,2022,1
47,Yusuf Genç,M,2021,0
47,Yusuf Genç,M,2020,0
47,Yusuf Genç,M,2019,0
47,Yusuf Genç,M,2018,0
47,Yusuf Genç,M,2017,0
47,Yusuf Genç,M,2016,0
47,Yusuf Genç,M,2015,0
47,Yusuf Genç,M,2014,0
47,Yusuf Genç,M,2013,0
48,Weeraphon Wichuma,M,2023,1
48,Weeraphon Wichuma,M,2022,0
48,Weeraphon Wichuma,M,2021,0
48,Weeraphon Wichuma,M,2020,0
48,Weeraphon Wichuma,M,2019,0
48,Weeraphon Wichuma,M,2018,0
48,Weeraphon Wichuma,M,2017,0
48,Weeraphon Wichuma,M,2016,0
48,Weeraphon Wichuma,M,2015,0
48,Weeraphon Wichuma,M,2014,0
48,Weeraphon Wichuma,M,2013,0
